crop_time,read_image_time,model_time,full_time,run_time
33.00,29692.50,1.00,29734.40,41.90
31.70,27064.90,0.40,27104.30,39.40
40.00,28925.20,0.60,28974.70,49.50
32.50,27328.50,0.50,27370.90,42.40
29.70,28575.10,0.40,28616.60,41.50
31.80,29651.10,0.60,29693.00,41.90
33.40,27863.70,0.90,27907.80,44.10
33.30,28695.60,0.80,28737.70,42.10
33.40,28648.80,0.50,28692.40,43.60
31.30,27975.30,0.60,28014.80,39.50
33.20,16104.80,0.50,16148.20,43.40
33.70,29505.60,0.50,29547.60,42.00
32.60,30158.20,0.80,30200.30,42.10
34.50,28183.60,0.50,28227.50,43.90
34.40,43322.90,0.50,43365.30,42.40
32.30,28541.90,0.90,28583.90,42.00
32.30,28814.20,0.50,28856.60,42.40
32.20,26547.50,0.70,26589.00,41.50
35.00,29000.00,0.50,29043.70,43.70
33.30,29575.40,0.50,29618.60,43.20
32.10,27554.40,0.50,27595.70,41.30
34.20,29120.30,0.60,29164.40,44.10
33.30,28531.70,0.50,28575.00,43.30
32.10,28973.90,0.70,29015.70,41.80
30.50,29948.50,0.60,29987.90,39.40
31.90,28887.10,0.40,28929.70,42.60
83.00,44285.50,0.60,44386.40,100.90
32.10,27946.80,0.40,27998.90,52.10
32.60,27998.20,0.50,28039.20,41.00
32.80,26566.00,0.30,26607.80,41.80
33.70,29222.90,0.40,29264.70,41.80
35.10,28235.30,0.60,28281.20,45.90
33.50,28607.50,0.70,28650.40,42.90
35.90,29478.10,0.60,29523.70,45.60
36.00,27934.70,0.50,27979.50,44.80
32.30,29542.40,0.70,29585.50,43.10
35.50,29552.40,0.60,29598.00,45.60
36.00,27507.50,0.90,27558.10,50.60
42.10,44953.00,0.40,45004.70,51.70
33.20,27674.30,0.80,27716.70,42.40
30.10,29112.70,0.50,29153.50,40.80
32.00,27046.90,0.70,27088.90,42.00
34.10,27463.00,0.90,27507.10,44.10
32.00,29920.50,0.50,29963.30,42.80
31.50,27889.50,0.60,27929.50,40.00
32.30,29067.30,0.70,29108.00,40.70
35.40,29827.70,1.20,29874.10,46.40
34.60,28679.20,0.30,28725.80,46.60
35.30,29790.40,0.70,29835.60,45.20
32.50,29720.00,0.60,29762.50,42.50
42.20,43635.20,0.40,43688.70,53.50
34.10,26547.80,0.70,26591.10,43.30
35.30,28306.00,0.90,28351.90,45.90
32.50,28374.70,0.60,28417.70,43.00
